Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
459,Christian Nørgaard,DEN,MF,Fiorentina,24,1994,6,323,54,9.4,3.6,4,70,1,2,22,29,1.67,7,5,+2,+0.56,+0.56,5.2,4.0,+1.2,+0.33,-0.01
460,Dimitri Oberlin,SUI,FW,Empoli,20,1997,5,139,28,4.1,1.5,0,,0,5,28,11,0.60,1,0,+1,+0.65,+1.20,0.5,4.6,-4.0,-2.62,-2.42
461,Joel Obi,NGA,MF,Chievo,27,1991,11,659,60,19.3,7.3,9,67,1,2,29,2,0.55,5,13,-8,-1.09,+0.28,8.7,10.7,-2.0,-0.27,+0.46
462,Jens Odgaard,DEN,FW,Sassuolo,19,1999,1,16,16,0.5,0.2,0,,0,1,16,15,1.00,0,0,0,0.00,+0.19,0.0,0.3,-0.3,-1.68,-1.45
463,Stefano Okaka,ITA,FW,Udinese,28,1989,16,970,61,28.4,10.8,11,80,3,5,19,2,1.38,16,15,+1,+0.09,+0.64,14.3,19.3,-5.0,-0.47,-0.02
464,Caleb Okoli,ITA,DF,Atalanta,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
465,Orji Okwonkwo,NGA,FW,Bologna,20,1998,8,257,32,7.5,2.9,2,77,1,6,17,13,0.88,1,4,-3,-1.05,-0.91,2.1,4.4,-2.3,-0.80,-0.80
466,Christian Oliva,URU,MF,Cagliari,22,1996,0,,,,,0,,0,0,,16,,,,,,,,,,,
467,Maximiliano Olivera,URU,DF,Fiorentina,26,1992,0,,,,,0,,0,0,,2,,,,,,,,,,,
468,Robin Olsen,SWE,GK,Roma,28,1990,27,2430,90,71.1,27.0,27,90,27,0,,9,1.63,50,42,+8,+0.30,-0.61,48.1,39.5,+8.6,+0.32,-0.01
