Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
312,Dwight McNeil,ENG,MF,Burnley,20,1999,34.1,1,0,0,11,40,2,242,32,24,0,0,0,216,18,26,40.9
313,Scott McTominay,SCO,MF,Manchester Utd,23,1996,23.7,3,0,0,47,42,1,12,29,24,0,0,0,154,48,30,61.5
314,Ben Mee,ENG,DF,Burnley,30,1989,29.9,3,0,0,15,19,1,0,43,15,0,0,0,170,108,65,62.4
315,Hannibal Mejbri,TUN,MF,Manchester Utd,17,2003,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
316,Benjamin Mendy,FRA,DF,Manchester City,26,1994,10.6,2,0,0,14,0,1,30,5,9,0,1,0,42,8,12,40.0
317,Edouard Mendy,SEN,GK,Chelsea,28,1992,30.5,2,0,0,1,3,0,0,1,0,0,1,0,44,4,2,66.7
318,Nampalys Mendy,SEN,MF,Leicester City,28,1992,16.2,5,0,0,21,29,0,1,14,17,0,0,0,120,8,14,36.4
319,Illan Meslier,FRA,GK,Leeds United,20,2000,35.0,0,0,0,1,9,0,0,0,0,0,1,1,22,15,1,93.8
320,Luka Milivojević,SRB,MF,Crystal Palace,29,1991,26.2,8,1,0,38,33,0,38,35,34,0,0,0,157,33,19,63.5
321,James Milner,ENG,MF|DF,Liverpool,34,1986,11.9,3,0,0,19,11,0,34,14,19,0,0,0,74,24,17,58.5
322,Yerry Mina,COL,DF,Everton,25,1994,21.5,2,0,0,22,11,0,0,24,14,0,0,0,93,65,31,67.7
323,Takumi Minamino,JPN,MF,Southampton,25,1995,7.9,1,0,0,7,11,1,9,4,3,0,0,0,41,6,7,46.2
324,Takumi Minamino,JPN,MF|FW,Liverpool,25,1995,3.3,0,0,0,4,2,1,3,2,3,0,0,0,10,3,2,60.0
