Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
296,Issa Kaboré,BFA,DF,Troyes,20,2001,25.0,45,22,22,14,9,20,38,52.6,18,27,2,25,20,65,38,1
297,Tino Kadewere,ZIM,FW,Lyon,25,1996,5.6,7,5,2,2,3,4,13,30.8,9,7,0,7,4,11,1,1
298,Gaël Kakuta,COD,MF|FW,Lens,30,1991,18.6,22,14,2,13,7,4,20,20.0,16,10,0,10,4,26,3,0
299,Arnaud Kalimuendo,FRA,FW,Lens,19,2002,23.9,9,8,1,3,5,2,7,28.6,5,6,1,5,8,17,0,0
300,Arnaud Kalimuendo,FRA,FW,Paris S-G,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
301,Samuel Kalu,NGA,FW|MF,Bordeaux,23,1997,3.6,8,5,3,4,1,2,5,40.0,3,2,0,2,3,11,1,0
302,Boubacar Kamara,FRA,MF|DF,Marseille,21,1999,30.9,68,38,27,36,5,26,47,55.3,21,29,10,19,46,114,44,1
303,Hassane Kamara,CIV,MF|DF,Nice,27,1994,6.0,13,10,4,6,3,5,8,62.5,3,10,2,8,9,22,4,0
304,Jean-Armel Kana-Biyik,CMR,DF,Metz,32,1989,7.4,10,6,8,2,0,4,9,44.4,5,11,4,7,16,26,22,1
305,Nordine Kandil,FRA,MF|FW,Strasbourg,19,2001,1.0,2,1,2,0,0,1,1,100.0,0,1,1,0,0,2,0,0
306,Eiji Kawashima,JPN,GK,Strasbourg,38,1983,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
307,Ilan Kebbal,ALG,MF|FW,Reims,23,1998,19.7,31,15,13,10,8,12,44,27.3,32,16,0,16,13,44,3,0
308,Thilo Kehrer,GER,DF,Paris S-G,24,1996,16.8,21,14,9,11,1,9,21,42.9,12,19,11,8,24,45,29,0
309,Habib Keita,MLI,MF|FW,Lyon,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
310,Saîf-Eddine Khaoui,TUN,MF|FW,Clermont Foot,26,1995,10.3,19,10,5,10,4,9,18,50.0,9,9,0,9,14,33,5,0
311,Wahbi Khazri,TUN,FW|MF,Saint-Étienne,30,1991,24.7,33,18,7,17,9,9,34,26.5,25,21,0,21,12,45,7,0
312,Presnel Kimpembe,FRA,DF,Paris S-G,25,1995,28.6,34,19,18,15,1,14,23,60.9,9,20,14,6,38,72,73,1
313,Thibault Klidje,TOG,MF|FW,Bordeaux,20,2001,1.0,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,0,0
314,Justin Kluivert,NED,MF,Nice,22,1999,20.8,19,9,6,12,1,5,21,23.8,16,13,1,12,14,33,6,0
315,Samuel Koeberlé,FRA,FW,Reims,16,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
316,Philippe Koffi,CIV,FW,Reims,19,2002,4.2,4,0,0,3,1,0,2,0.0,2,2,1,1,3,7,3,0
317,Sead Kolašinac,BIH,DF,Marseille,28,1993,4.9,7,6,2,3,2,5,8,62.5,3,4,0,4,0,7,7,1
318,Randal Kolo Muani,FRA,FW|MF,Nantes,22,1998,32.8,28,14,7,10,11,10,25,40.0,15,14,3,11,6,34,31,0
319,Timothée Kolodziejczak,FRA,DF,Saint-Étienne,29,1991,28.5,43,24,22,14,7,20,36,55.6,16,29,7,22,60,103,72,1
320,Ghislain Konan,CIV,DF,Reims,25,1995,26.9,35,19,19,15,1,16,30,53.3,14,35,8,27,28,63,45,0
321,Ibrahima Koné,MLI,FW,Lorient,22,1999,8.1,7,4,0,3,4,2,3,66.7,1,8,3,5,1,8,3,0
322,Youssouf Koné,MLI,DF,Troyes,26,1995,10.9,30,18,21,8,1,19,30,63.3,11,8,3,5,10,40,25,0
323,Laurent Koscielny,FRA,DF,Bordeaux,35,1985,10.4,14,9,10,3,1,8,13,61.5,5,17,12,5,12,26,39,0
324,Rominigue Kouamé,MLI,MF,Troyes,24,1996,33.0,47,22,24,20,3,19,58,32.8,39,33,5,28,46,93,22,2
325,Boubakar Kouyaté,MLI,DF,Metz,24,1997,29.6,84,50,56,28,0,48,77,62.3,29,63,33,30,79,163,217,3
326,Jean-Philippe Krasso,CIV,FW,Saint-Étienne,24,1997,5.0,7,5,0,5,2,2,10,20.0,8,7,1,6,0,7,1,0
327,Mykola Kukharevych,UKR,FW,Troyes,20,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
328,Enock Kwateng,FRA,DF,Bordeaux,24,1997,22.2,54,35,31,19,4,33,72,45.8,39,17,4,13,43,97,48,1
329,Grejohn Kyei,FRA,FW,Clermont Foot,25,1995,4.4,3,2,1,1,1,0,6,0.0,6,6,0,6,0,3,1,0
330,Gaëtan Laborde,FRA,FW,Montpellier,27,1994,3.8,2,2,1,1,0,2,4,50.0,2,3,0,3,5,7,5,0
331,Gaëtan Laborde,FRA,FW,Rennes,27,1994,30.3,19,7,5,8,6,3,22,13.6,19,29,3,26,8,27,16,0
332,Tom Lacoux,FRA,DF|MF,Bordeaux,19,2002,10.1,18,13,11,5,2,9,24,37.5,15,14,4,10,9,27,20,1
