Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
144,Fabricio,ESP,GK,Fulham,30,1987,2.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
145,Marouane Fellaini,BEL,MF,Manchester Utd,30,1987,8.4,1,0,0,15,9,2,6,4,13,1,0,0,50,48,22,68.6
146,Kiko Femenía,ESP,DF,Watford,27,1991,22.8,1,0,0,12,14,3,64,36,30,0,1,0,128,12,12,50.0
147,Federico Fernández,ARG,DF,Newcastle Utd,29,1989,16.5,2,0,0,12,7,1,5,25,12,0,1,0,78,37,30,55.2
148,Fernandinho,BRA,MF,Manchester City,33,1985,26.4,5,0,0,40,26,2,4,41,43,0,1,0,163,75,64,54.0
149,Roberto Firmino,BRA,FW|MF,Liverpool,26,1991,29.0,0,0,0,38,10,7,9,6,20,0,0,0,112,30,75,28.6
150,Phil Foden,ENG,MF,Manchester City,18,2000,3.7,0,0,0,4,5,0,4,4,6,0,0,0,14,2,7,22.2
151,Fraser Forster,ENG,GK,Southampton,30,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,Ben Foster,ENG,GK,Watford,35,1983,38.0,1,0,0,2,9,0,1,2,2,0,2,0,64,13,0,100.0
153,Timothy Fosu-Mensah,NED,DF,Fulham,20,1998,8.8,3,0,0,7,1,0,15,12,7,0,1,1,42,7,13,35.0
154,Juan Foyth,ARG,DF,Tottenham,20,1998,9.9,3,1,0,16,9,0,2,10,17,0,2,0,53,25,19,56.8
155,Simon Francis,ENG,DF,Bournemouth,33,1985,13.7,1,0,0,11,8,3,32,19,14,0,0,0,65,47,40,54.0
156,Ryan Fraser,SCO,MF|FW,Bournemouth,24,1994,35.2,2,0,0,6,68,10,271,22,11,1,0,0,135,9,27,25.0
157,Fred,BRA,MF,Manchester Utd,25,1993,11.6,2,0,0,25,18,1,13,16,17,0,1,0,105,3,13,18.8
158,Ryan Fredericks,ENG,DF,West Ham,25,1992,12.1,5,0,0,9,10,1,20,13,23,0,1,0,51,20,12,62.5
159,Christian Fuchs,AUT,DF,Leicester City,32,1986,2.3,0,0,0,3,2,0,15,4,3,0,0,0,17,3,3,50.0
160,Manolo Gabbiadini,ITA,FW|MF,Southampton,26,1991,5.3,0,0,0,9,8,1,4,3,2,0,0,0,27,8,28,22.2
161,Sam Gallagher,ENG,FW,Southampton,22,1995,0.4,0,0,0,4,1,0,0,0,0,0,0,0,1,2,10,16.7
162,Idrissa Gana Gueye,SEN,MF,Everton,28,1989,31.4,6,0,0,54,38,0,13,74,89,0,1,0,254,32,35,47.8
163,James Garner,ENG,MF,Manchester Utd,17,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
164,Paulo Gazzaniga,ARG,GK,Tottenham,26,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
165,David de Gea,ESP,GK,Manchester Utd,27,1990,38.0,1,0,0,1,4,0,0,0,0,0,0,0,46,3,0,100.0
166,Rachid Ghezzal,ALG,FW|MF,Leicester City,26,1992,8.3,3,0,0,13,8,0,45,7,5,0,0,0,50,10,7,58.8
167,Morgan Gibbs-White,ENG,MF|FW,Wolves,18,2000,7.4,1,0,0,8,6,2,17,1,3,0,0,0,42,12,18,40.0
168,Ben Gibson,ENG,DF,Burnley,25,1993,0.7,1,0,0,2,0,0,0,0,1,0,0,0,3,2,3,40.0
169,Olivier Giroud,FRA,FW,Chelsea,31,1986,9.4,1,0,0,12,6,6,1,3,2,0,0,0,22,37,19,66.1
170,André Gomes,POR,MF,Everton,25,1993,22.0,7,0,0,49,26,0,16,20,23,0,0,0,178,35,32,52.2
171,Angel Gomes,ENG,MF|FW,Manchester Utd,17,2000,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
172,Joe Gomez,ENG,DF,Liverpool,21,1997,11.8,2,0,0,12,9,0,7,14,11,0,0,0,71,24,19,55.8
