Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
141,Yannick Gerhardt,GER,MF,Wolfsburg,25,1994,9.2,499,14,80,285,137,13,499,11,6,54.5,5,45.5,256,1265,637,19,13,5,13,7,304,21
142,Niko Gießelmann,GER,DF,Düsseldorf,27,1991,22.9,1376,68,515,587,289,14,1376,13,7,53.8,6,46.2,585,3267,1591,34,24,1,22,6,723,60
143,Rafał Gikiewicz,POL,GK,Union Berlin,31,1987,33.0,1463,1107,1453,7,3,2,1463,0,0,,0,,799,4798,3493,0,1,1,1,0,638,0
144,Daniel Ginczek,GER,FW,Wolfsburg,28,1991,8.5,286,4,22,128,137,33,286,12,6,50.0,6,50.0,127,497,212,11,6,5,23,16,215,66
145,Matthias Ginter,GER,DF,M'Gladbach,25,1994,30.9,2476,264,1383,1026,76,29,2476,8,6,75.0,2,25.0,1602,8919,5377,29,14,2,15,1,1770,9
146,Klaus Gjasula,ALB,MF,Paderborn 07,29,1989,25.3,1434,97,500,779,168,25,1433,25,20,80.0,5,20.0,801,3433,1590,13,14,1,31,23,846,24
147,Serge Gnabry,GER,FW|MF,Bayern Munich,24,1995,24.4,1461,8,99,537,847,207,1461,96,55,57.3,41,42.7,971,6089,3228,118,75,59,53,25,1166,337
148,Akaki Gogia,GER,MF|FW,Union Berlin,27,1992,1.3,67,1,8,28,32,3,67,9,5,55.6,4,44.4,41,190,107,1,1,1,5,0,44,12
149,Benjamin Goller,GER,FW|MF,Werder Bremen,20,1999,3.2,148,1,16,66,70,15,148,28,14,50.0,14,50.0,95,628,291,16,7,4,10,5,92,22
150,Jérôme Gondorf,GER,MF,Freiburg,31,1988,1.3,64,4,16,34,14,1,64,2,1,50.0,1,50.0,32,139,45,0,2,1,3,2,37,1
151,Leon Goretzka,GER,MF,Bayern Munich,24,1995,16.8,1102,17,164,652,292,45,1102,25,19,76.0,6,24.0,682,3363,1733,29,32,4,18,19,790,63
152,Mario Götze,GER,FW,Dortmund,27,1992,5.8,347,2,10,158,179,31,346,13,3,23.1,10,76.9,204,857,395,10,7,3,15,7,271,56
153,Jeffrey Gouweleeuw,NED,DF,Augsburg,28,1991,18.3,963,171,612,347,21,4,963,9,7,77.8,2,22.2,526,2986,1547,11,5,1,10,2,507,3
