Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
344,Marlon,BRA,DF,Sassuolo,24,1995,19.4,6,1,1,26,8,0,0,27,13,0,2,0,112,38,30,55.9
345,Luca Marrone,ITA,DF,Crotone,30,1990,17.6,8,0,0,36,10,0,0,26,18,0,1,1,105,20,22,47.6
346,Lautaro Martínez,ARG,FW,Inter,22,1997,28.5,5,0,0,64,61,11,12,27,12,3,0,0,97,25,48,34.2
347,Lucas Martínez Quarta,ARG,DF,Fiorentina,24,1996,16.5,4,1,0,23,10,0,5,39,20,0,1,0,107,28,22,56.0
348,Adam Marušić,MNE,DF,Lazio,27,1992,33.0,3,0,0,19,16,4,64,40,22,0,1,1,185,28,27,50.9
349,Andrea Masiello,ITA,DF,Genoa,34,1986,28.5,6,0,0,15,12,1,8,53,22,0,1,0,156,40,34,54.1
350,Giuseppe Mastinu,ITA,FW,Spezia,28,1991,0.4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
351,Ryder Matos,BRA,MF,Udinese,27,1993,0.1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0.0
352,Federico Mattiello,ITA,DF,Spezia,25,1995,0.4,0,0,0,0,1,0,2,0,0,0,0,0,4,1,3,25.0
353,Borja Mayoral,ESP,FW,Roma,23,1997,17.2,1,0,0,10,28,13,7,0,2,1,0,0,27,15,51,22.7
354,Antonio Mazzotta,ITA,DF,Crotone,30,1989,0.6,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,
355,Ibrahima Mbaye,SEN,DF,Bologna,25,1994,4.8,2,0,0,3,5,1,2,1,5,0,0,0,26,12,11,52.2
356,Weston McKennie,USA,MF,Juventus,21,1998,18.9,5,0,0,44,7,4,9,28,19,0,0,0,100,29,28,50.9
357,Gary Medel,CHI,DF|MF,Bologna,32,1987,5.7,1,0,0,5,10,0,0,7,9,0,0,0,43,7,6,53.8
358,Soualiho Meïté,FRA,MF,Torino,26,1994,10.2,0,0,0,11,9,1,2,10,7,0,0,0,57,6,10,37.5
359,Soualiho Meïté,FRA,MF,Milan,26,1994,6.5,2,0,0,13,14,2,1,8,10,0,0,0,62,12,8,60.0
360,Filippo Melegoni,ITA,MF|DF,Genoa,21,1999,4.3,1,0,0,3,5,0,14,5,6,0,0,0,14,2,2,50.0
361,Arthur Melo,BRA,MF,Juventus,23,1996,12.9,3,0,0,11,21,0,3,18,9,0,0,0,93,2,4,33.3
362,Alex Meret,ITA,GK,Napoli,23,1997,22.0,0,0,0,0,1,0,0,0,0,0,0,0,35,5,1,83.3
363,Yıldırım Mert Çetin,TUR,DF,Hellas Verona,23,1997,4.6,1,0,0,6,4,0,1,14,4,0,0,0,26,13,10,56.5
364,Dries Mertens,BEL,FW|MF,Napoli,33,1987,16.2,2,0,0,15,9,5,64,9,14,0,0,0,40,2,11,15.4
365,Junior Messias,BRA,MF|FW,Crotone,29,1991,35.7,6,0,0,34,93,5,123,35,35,1,0,0,166,34,65,34.3
366,Petar Mićin,SRB,MF,Udinese,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
367,Valentin Mihaila,ROU,FW|MF,Parma,20,2000,7.8,2,0,0,5,8,5,14,5,1,1,0,0,20,3,15,16.7
368,Nikola Milenković,SRB,DF,Fiorentina,22,1997,33.7,7,1,0,56,16,0,6,44,29,0,1,0,148,101,30,77.1
369,Sergej Milinković-Savić,SRB,MF,Lazio,25,1995,30.5,4,0,0,56,50,9,57,33,40,2,2,0,212,99,85,53.8
370,Vanja Milinković-Savić,SRB,GK,Torino,23,1997,5.0,0,1,0,0,2,0,0,0,1,0,0,0,11,1,0,100.0
371,Vincenzo Millico,ITA,FW|MF,Torino,19,2000,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
372,Aleksei Miranchuk,RUS,MF|FW,Atalanta,24,1995,7.5,0,0,0,17,20,2,15,3,13,0,0,0,44,8,12,40.0
373,Antonio Mirante,ITA,GK,Roma,37,1983,12.8,2,0,0,0,1,0,0,0,0,0,0,0,29,0,1,0.0
374,Henrikh Mkhitaryan,ARM,MF|FW,Roma,31,1989,30.5,2,0,0,36,46,10,53,39,24,1,0,0,150,13,27,32.5
375,Johan Mojica,COL,DF,Atalanta,27,1992,3.3,1,0,0,4,1,0,20,7,4,0,1,0,32,5,4,55.6
376,Nahuel Molina,ARG,DF,Udinese,22,1998,20.3,1,0,0,16,11,4,85,21,18,0,2,0,106,11,13,45.8
377,Salvatore Molina,ITA,MF|DF,Crotone,28,1992,25.7,1,0,0,23,39,2,71,17,22,0,0,1,161,21,18,53.8
378,Gabriele Moncini,ITA,FW|MF,Benevento,24,1996,4.0,0,0,0,9,10,1,0,2,1,0,0,0,18,10,17,37.0
379,Cristóbal Montiel,ESP,MF|FW,Fiorentina,20,2000,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
380,Lorenzo Montipò,ITA,GK,Benevento,24,1996,37.0,3,0,0,3,6,0,0,0,0,0,2,1,31,9,2,81.8
381,Luca Mora,ITA,MF,Spezia,32,1988,1.3,0,0,0,2,2,0,1,0,1,0,0,0,5,5,1,83.3
382,Álvaro Morata,ESP,FW,Juventus,27,1992,22.4,3,1,0,37,44,19,18,5,12,1,0,0,55,33,34,49.3
383,Raúl Moro,ESP,FW,Lazio,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
384,Mert Müldür,TUR,DF,Sassuolo,21,1999,18.6,2,0,0,20,15,0,48,36,20,0,0,0,86,19,21,47.5
385,Luis Muriel,COL,FW,Atalanta,29,1991,16.0,0,0,0,18,20,3,82,7,9,1,0,0,51,25,47,34.7
