Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
174,Radu Drăgușin,ROU,DF,Sampdoria,19,2002,6.9,4,3,2,2,0,2,6,33.3,4,8,4,4,10,14,33,0
175,Radu Drăgușin,ROU,DF,Salernitana,19,2002,5.4,5,4,2,3,0,4,10,40.0,6,7,3,4,13,18,17,0
176,Denzel Dumfries,NED,DF,Inter,25,1996,22.5,32,12,9,14,9,16,32,50.0,16,15,6,9,9,41,26,0
177,Alfred Duncan,GHA,MF,Fiorentina,28,1993,21.5,34,19,13,16,5,11,32,34.4,21,32,3,29,10,44,7,0
178,Paulo Dybala,ARG,FW|MF,Juventus,27,1993,22.9,30,13,7,14,9,8,35,22.9,27,19,0,19,9,39,4,3
179,Edin Džeko,BIH,FW,Inter,35,1986,27.4,14,8,7,4,3,8,25,32.0,17,22,5,17,4,18,35,0
180,Tyronne Ebuehi,NGA,DF,Venezia,25,1995,12.6,28,12,16,8,4,10,18,55.6,8,13,3,10,16,44,38,1
181,Éderson,BRA,MF,Salernitana,22,1999,12.7,29,18,11,14,4,14,26,53.8,12,11,2,9,19,48,8,0
182,Albin Ekdal,SWE,MF,Sampdoria,32,1989,18.2,43,28,17,21,5,26,56,46.4,30,27,7,20,29,72,25,0
183,Caleb Ekuban,GHA,FW|MF,Genoa,27,1994,19.1,19,12,2,12,5,7,23,30.4,16,19,5,14,9,28,6,0
184,Elif Elmas,MKD,FW|MF,Napoli,21,1999,18.0,25,15,10,10,5,12,28,42.9,16,13,2,11,8,33,17,0
185,Martin Erlic,CRO,DF,Spezia,23,1998,28.6,28,16,18,10,0,10,18,55.6,8,54,39,15,28,56,122,1
186,Gonzalo Escalante,ARG,MF,Lazio,28,1993,0.1,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,0,0
187,Diego Falcinelli,ITA,FW,Bologna,30,1991,0.7,2,2,2,0,0,0,0,,0,0,0,0,1,3,1,0
188,Wladimiro Falcone,ITA,GK,Sampdoria,26,1995,9.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
189,Paolo Faragò,ITA,MF,Cagliari,28,1993,0.2,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
190,Davide Faraoni,ITA,DF,Hellas Verona,29,1991,28.6,62,40,38,21,3,29,62,46.8,33,38,5,33,23,85,62,1
