Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
522,Roberto Soriano,ITA,MF,Bologna,28,1991,27.4,5,37,16,43.2,1.35,0.58,0.14,0.31,19.9,0,0,0,4.3,4.3,0.12,+0.7,+0.7
523,Riccardo Sottil,ITA,FW|DF,Fiorentina,20,1999,5.7,0,16,8,50.0,2.80,1.40,0.00,0.00,22.3,0,0,0,1.0,1.0,0.06,-1.0,-1.0
524,Adama Soumaoro,FRA,DF,Genoa,27,1992,7.1,1,1,1,100.0,0.14,0.14,1.00,1.00,5.7,0,0,0,0.4,0.4,0.36,+0.6,+0.6
525,Nikolas Špalek,SVK,MF|FW,Brescia,22,1997,17.5,2,25,10,40.0,1.42,0.57,0.08,0.20,15.7,0,0,0,3.2,3.2,0.13,-1.2,-1.2
526,Leonardo Spinazzola,ITA,DF,Roma,26,1993,17.2,1,14,4,28.6,0.81,0.23,0.07,0.25,16.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1
527,Marco Sportiello,ITA,GK,Atalanta,27,1992,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
528,Mattia Sprocati,ITA,FW|MF,Parma,26,1993,6.6,1,14,6,42.9,2.14,0.92,0.07,0.17,21.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3
529,Mariusz Stępiński,POL,FW|MF,Hellas Verona,24,1995,7.8,3,16,7,43.8,2.04,0.89,0.19,0.43,10.9,0,0,0,2.9,2.9,0.18,+0.1,+0.1
530,Thomas Strakosha,ALB,GK,Lazio,24,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
531,Gabriel Strefezza,,DF|FW,SPAL,22,1997,23.4,1,53,11,20.8,2.26,0.47,0.02,0.09,,,0,0,,,,,
532,Jens Stryger Larsen,DEN,DF,Udinese,28,1991,31.0,1,12,3,25.0,0.39,0.10,0.08,0.33,14.7,0,0,0,1.3,1.3,0.10,-0.3,-0.3
533,Stefano Sturaro,ITA,MF,Genoa,26,1993,13.9,1,18,6,33.3,1.29,0.43,0.06,0.17,19.2,2,0,0,1.8,1.8,0.11,-0.8,-0.8
534,Suso,ESP,FW|MF,Milan,25,1993,15.1,1,31,12,38.7,2.05,0.79,0.03,0.08,24.8,2,0,0,1.1,1.1,0.04,-0.1,-0.1
535,Bosko Sutalo,CRO,DF,Atalanta,19,2000,3.1,0,1,0,0.0,0.32,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
