Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
189,Alessandro Florenzi,ITA,DF|FW,Roma,27,1991,24.2,1717,78,459,790,487,38,1717,24,8,33.3,16,66.7,860,4701,2854,66,46,8,16,9,1004,101
190,Seko Fofana,CIV,MF,Udinese,23,1995,29.3,1469,35,255,839,393,48,1469,75,54,72.0,21,28.0,1039,6518,2917,67,53,23,71,50,1063,116
191,Pierluigi Frattali,ITA,GK,Parma,32,1985,1.0,43,40,43,0,0,0,43,0,0,,0,,18,82,62,0,0,0,0,0,14,0
192,Remo Freuler,SUI,MF,Atalanta,26,1992,33.6,2633,53,401,1538,718,52,2633,46,26,56.5,20,43.5,1711,9313,4729,100,92,11,53,40,1884,77
193,Nicolas Frey,FRA,DF,Chievo,34,1984,2.5,155,26,66,82,8,0,155,0,0,,0,,71,245,128,1,1,0,0,0,79,1
194,Manolo Gabbiadini,ITA,FW,Sampdoria,26,1991,9.0,396,7,26,151,225,41,396,11,6,54.5,5,45.5,224,1181,404,17,12,6,20,13,314,70
195,Gianluca Gaetano,ITA,MF|FW,Napoli,18,2000,0.1,12,0,2,3,7,2,12,1,0,0.0,1,100.0,10,52,17,1,1,2,1,0,12,3
196,Roberto Gagliardini,ITA,MF,Inter,24,1994,12.1,944,31,145,577,230,36,944,9,5,55.6,4,44.4,546,2637,1421,32,30,1,22,10,720,42
197,Riccardo Gagliolo,SWE,DF,Parma,28,1990,33.8,1854,288,941,755,177,24,1854,9,5,55.6,4,44.4,863,3920,2419,16,18,0,24,7,896,27
198,Marcello Gazzola,ITA,DF|MF,Parma,33,1985,10.2,460,24,129,204,128,6,460,11,4,36.4,7,63.6,209,999,495,13,9,1,2,4,263,36
