Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
89,Kingsley Coman,FRA,FW|MF,Bayern Munich,22,1996,15.3,2,0,0,17,41,3,55,5,6,0,0,0,76,12,14,46.2
90,Sergio Córdova,VEN,FW,Augsburg,20,1997,5.9,1,0,0,15,19,3,5,3,5,0,0,0,23,15,28,34.9
91,Danny da Costa,GER,DF|FW,Eint Frankfurt,25,1993,33.7,1,0,0,33,20,13,116,32,35,0,0,0,185,53,50,51.5
92,Mickaël Cuisance,FRA,MF,M'Gladbach,18,1999,3.1,3,0,0,8,2,0,4,5,6,0,0,0,9,1,4,20.0
93,Matheus Cunha,BRA,FW|MF,RB Leipzig,19,1999,9.5,1,0,0,34,15,5,10,4,6,1,0,0,41,14,28,33.3
94,Christoph Daferner,GER,FW,Freiburg,20,1998,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
95,Mahmoud Dahoud,GER,MF,Dortmund,22,1996,7.7,2,0,0,12,7,0,1,17,10,0,0,0,63,6,8,42.9
96,Leon Dajaku,GER,DF|MF,Stuttgart,17,2001,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
97,Kevin Danso,AUT,DF,Augsburg,19,1998,13.9,3,0,0,16,15,0,1,19,14,0,0,1,50,45,31,59.2
98,Palkó Dárdai,HUN,FW|MF,Hertha BSC,19,1999,1.3,0,0,0,3,1,0,4,0,1,0,0,0,3,1,4,20.0
99,Vladimír Darida,CZE,MF,Hertha BSC,27,1990,4.2,1,0,0,14,6,0,5,8,5,0,0,0,30,2,8,20.0
100,Alphonso Davies,CAN,MF|FW,Bayern Munich,17,2000,0.9,1,0,0,1,0,0,1,2,1,0,1,0,8,1,3,25.0
101,Thomas Delaney,DEN,MF,Dortmund,26,1991,25.4,7,0,0,45,25,2,9,58,54,0,0,0,141,55,44,55.6
102,Kerem Demirbay,GER,MF,Hoffenheim,25,1993,22.4,6,0,0,46,34,2,130,22,35,0,0,0,191,17,21,44.7
103,Diego Demme,GER,MF,RB Leipzig,26,1991,22.8,4,0,0,36,51,0,48,26,47,0,0,0,164,27,25,51.9
104,Franco Di Santo,ARG,MF|FW,Schalke 04,29,1989,2.7,0,0,0,4,7,2,8,1,1,0,0,0,9,8,11,42.1
105,Abdou Diallo,SEN,DF,Dortmund,22,1996,26.4,1,1,0,21,12,1,24,26,20,0,0,0,153,49,40,55.1
106,Daniel Didavi,GER,MF|FW,Stuttgart,28,1990,10.6,0,0,0,12,30,6,74,4,15,0,0,0,61,6,16,27.3
107,Tim Dierßen,GER,MF,Hannover 96,22,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
108,Javairô Dilrosun,NED,FW|MF,Hertha BSC,20,1998,10.0,2,0,0,8,21,0,32,7,10,0,0,0,47,3,16,15.8
109,Giulio Donati,ITA,DF,Mainz 05,28,1990,6.9,2,0,0,6,6,0,26,16,7,0,0,0,38,7,10,41.2
110,Ji Dong-won,KOR,MF|FW,Augsburg,27,1991,9.9,2,0,0,15,9,1,14,8,6,0,0,0,63,27,24,52.9
111,Anastasios Donis,GRE,FW|MF,Stuttgart,21,1996,10.7,4,0,0,21,13,15,25,4,13,0,0,0,28,10,36,21.7
112,Aleksandar Dragović,AUT,DF,Leverkusen,27,1991,14.8,4,0,0,11,6,1,0,25,12,0,1,0,70,28,27,50.9
